Class,Method,Line,Operator,Count,Label,NumTestCovered,NumExecuteCovered,NumMutantAssertion,NumClassAssertion,TypeReturn,DIT,NOCh,VG,TLOC,NBD,Ce,Ca,I
team.indecision.Model.Class,addField,94,BooleanFalseReturnValsMutator,1,SURVIVED,9,10,44,186,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,addField,94,BooleanTrueReturnValsMutator,1,SURVIVED,9,10,44,186,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,addMethod,193,BooleanFalseReturnValsMutator,1,SURVIVED,9,11,45,181,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,addMethod,193,BooleanTrueReturnValsMutator,1,SURVIVED,9,11,45,181,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,addRelationship,280,BooleanFalseReturnValsMutator,1,SURVIVED,10,11,46,186,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,addRelationship,280,BooleanTrueReturnValsMutator,1,SURVIVED,10,11,46,186,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,containsField,129,NegateConditionalsMutator,1,KILLED,12,35,50,186,Z,1,0,2,7,2,0,27,0.0
team.indecision.Model.Class,containsField,132,BooleanFalseReturnValsMutator,1,KILLED,12,35,50,186,Z,1,0,2,7,2,0,27,0.0
team.indecision.Model.Class,containsField,132,BooleanTrueReturnValsMutator,1,KILLED,12,35,50,186,Z,1,0,2,7,2,0,27,0.0
team.indecision.Model.Class,containsMethod,228,NegateConditionalsMutator,1,KILLED,13,47,53,181,Z,1,0,2,7,2,0,27,0.0
team.indecision.Model.Class,containsMethod,231,BooleanFalseReturnValsMutator,1,KILLED,13,47,53,181,Z,1,0,2,7,2,0,27,0.0
team.indecision.Model.Class,containsMethod,231,BooleanTrueReturnValsMutator,1,KILLED,13,47,53,181,Z,1,0,2,7,2,0,27,0.0
team.indecision.Model.Class,containsRelationship,316,NegateConditionalsMutator,1,KILLED,15,40,56,186,Z,1,0,2,7,2,0,27,0.0
team.indecision.Model.Class,containsRelationship,319,BooleanFalseReturnValsMutator,1,KILLED,15,40,56,186,Z,1,0,2,7,2,0,27,0.0
team.indecision.Model.Class,containsRelationship,319,BooleanTrueReturnValsMutator,1,KILLED,15,40,56,186,Z,1,0,2,7,2,0,27,0.0
team.indecision.Model.Class,deleteField,103,BooleanFalseReturnValsMutator,1,SURVIVED,2,2,27,181,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,deleteField,103,BooleanTrueReturnValsMutator,1,SURVIVED,2,2,27,181,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,deleteMethod,202,BooleanFalseReturnValsMutator,1,SURVIVED,2,2,27,181,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,deleteMethod,202,BooleanTrueReturnValsMutator,1,SURVIVED,2,2,27,181,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,deleteRelationship,290,BooleanFalseReturnValsMutator,1,SURVIVED,3,3,30,181,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,deleteRelationship,290,BooleanTrueReturnValsMutator,1,SURVIVED,3,3,30,181,Z,1,0,1,4,1,0,27,0.0
team.indecision.Model.Class,equals,358,NegateConditionalsMutator,1,KILLED,1,1,25,58,Z,1,0,5,7,2,0,27,0.0
team.indecision.Model.Class,equals,358,NegateConditionalsMutator,2,KILLED,1,1,25,58,Z,1,0,5,7,2,0,27,0.0
team.indecision.Model.Class,equals,358,NegateConditionalsMutator,3,KILLED,1,1,25,58,Z,1,0,5,7,2,0,27,0.0
team.indecision.Model.Class,equals,358,NegateConditionalsMutator,4,KILLED,1,1,25,58,Z,1,0,5,7,2,0,27,0.0
team.indecision.Model.Class,equals,361,BooleanFalseReturnValsMutator,1,KILLED,1,1,25,58,Z,1,0,5,7,2,0,27,0.0
team.indecision.Model.Class,equals,361,BooleanTrueReturnValsMutator,1,SURVIVED,1,1,25,58,Z,1,0,5,7,2,0,27,0.0
team.indecision.Model.Class,getField,113,NegateConditionalsMutator,1,KILLED,12,57,50,186,Lteam/indecision/Model/Field,1,0,3,12,3,0,27,0.0
team.indecision.Model.Class,getField,115,NegateConditionalsMutator,1,KILLED,7,36,39,181,Lteam/indecision/Model/Field,1,0,3,12,3,0,27,0.0
team.indecision.Model.Class,getFields,78,NullReturnValsMutator,1,KILLED,2,6,27,181,Ljava/util/SortedSet,1,0,1,3,1,0,27,0.0
team.indecision.Model.Class,getMethod,212,NegateConditionalsMutator,1,KILLED,13,72,53,181,Lteam/indecision/Model/Method,1,0,4,12,3,0,27,0.0
team.indecision.Model.Class,getMethod,214,NegateConditionalsMutator,1,KILLED,9,45,45,181,Lteam/indecision/Model/Method,1,0,4,12,3,0,27,0.0
