Class,Method,Line,Operator,Count,Label,NumTestCovered,NumExecuteCovered,NumMutantAssertion,NumClassAssertion,TypeReturn,DIT,NOCh,VG,TLOC,NBD,Ce,Ca,I
snippets.Snippets,anagrams,502,ConditionalsBoundaryMutator,1,SURVIVED,1,4,1,133,Ljava/util/List,1,0,3,6,2,0,0,0
snippets.Snippets,anagrams,502,NegateConditionalsMutator,1,KILLED,1,4,1,133,Ljava/util/List,1,0,3,6,2,0,0,0
snippets.Snippets,anagrams,503,NegateConditionalsMutator,1,KILLED,1,3,1,133,Ljava/util/List,1,0,3,6,2,0,0,0
snippets.Snippets,anagrams,503,EmptyObjectReturnValsMutator,1,KILLED,1,3,1,133,Ljava/util/List,1,0,3,6,2,0,0,0
snippets.Snippets,anagrams,507,EmptyObjectReturnValsMutator,1,KILLED,1,1,1,133,Ljava/util/List,1,0,3,6,2,0,0,0
snippets.Snippets,arrayMax,78,NullReturnValsMutator,1,KILLED,1,1,1,133,Ljava/util/OptionalInt,1,0,1,3,1,0,0,0
snippets.Snippets,arrayMin,88,NullReturnValsMutator,1,KILLED,1,1,1,133,Ljava/util/OptionalInt,1,0,1,3,1,0,0,0
snippets.Snippets,average,496,PrimitiveReturnsMutator,1,KILLED,1,1,1,133,D,1,0,1,3,1,0,0,0
snippets.Snippets,byteSize,519,PrimitiveReturnsMutator,1,KILLED,2,2,2,133,I,1,0,1,3,1,0,0,0
snippets.Snippets,capitalize,523,NegateConditionalsMutator,1,KILLED,2,4,3,133,Ljava/lang/String,1,0,2,3,1,0,0,0
snippets.Snippets,capitalize,523,EmptyObjectReturnValsMutator,1,KILLED,2,4,3,133,Ljava/lang/String,1,0,2,3,1,0,0,0
snippets.Snippets,capitalizeEveryWord,530,EmptyObjectReturnValsMutator,1,KILLED,1,1,1,133,Ljava/lang/String,1,0,1,3,1,0,0,0
snippets.Snippets,chunk,99,MathMutator,1,KILLED,2,2,2,133,[[I,1,0,2,3,1,0,0,0
snippets.Snippets,chunk,99,NullReturnValsMutator,1,KILLED,2,2,2,133,[[I,1,0,2,3,1,0,0,0
snippets.Snippets,concat,674,NullReturnValsMutator,1,KILLED,1,1,1,133,[Ljava/lang/Object,1,0,1,3,1,0,0,0
snippets.Snippets,countOccurrences,113,PrimitiveReturnsMutator,1,KILLED,1,1,1,133,J,1,0,1,3,1,0,0,0
snippets.Snippets,countVowels,536,PrimitiveReturnsMutator,1,KILLED,1,1,1,133,I,1,0,1,3,1,0,0,0
snippets.Snippets,deepFlatten,125,NullReturnValsMutator,1,KILLED,1,3,1,133,[I,1,0,2,3,3,0,0,0
snippets.Snippets,difference,143,NullReturnValsMutator,1,KILLED,2,2,2,133,[I,1,0,1,4,1,0,0,0
snippets.Snippets,differenceWith,157,NullReturnValsMutator,1,KILLED,3,3,3,133,[I,1,0,1,3,1,0,0,0
snippets.Snippets,distinctValuesOfArray,171,NullReturnValsMutator,1,KILLED,1,1,1,133,[I,1,0,1,3,1,0,0,0
snippets.Snippets,dropElements,182,ConditionalsBoundaryMutator,1,KILLED,3,9,3,133,[I,1,0,3,6,2,0,0,0
snippets.Snippets,dropElements,182,NegateConditionalsMutator,1,KILLED,3,9,3,133,[I,1,0,3,6,2,0,0,0
snippets.Snippets,dropElements,182,NegateConditionalsMutator,2,KILLED,3,9,3,133,[I,1,0,3,6,2,0,0,0
snippets.Snippets,dropElements,185,NullReturnValsMutator,1,KILLED,3,3,3,133,[I,1,0,3,6,2,0,0,0
snippets.Snippets,dropRight,196,ConditionalsBoundaryMutator,1,SURVIVED,1,4,4,133,[I,1,0,3,6,2,0,0,0
snippets.Snippets,dropRight,199,ConditionalsBoundaryMutator,1,SURVIVED,1,4,4,133,[I,1,0,3,6,2,0,0,0
snippets.Snippets,dropRight,199,MathMutator,1,KILLED,1,4,4,133,[I,1,0,3,6,2,0,0,0
