Class,Method,Line,Operator,Count,Label,NumTestCovered,NumExecuteCovered,NumMutantAssertion,NumClassAssertion,TypeReturn,DIT,NOCh,VG,TLOC,NBD,Ce,Ca,I
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,31,ConditionalsBoundaryMutator,1,SURVIVED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,39,ConditionalsBoundaryMutator,1,SURVIVED,2,998,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,42,ConditionalsBoundaryMutator,1,SURVIVED,2,1002,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,48,ConditionalsBoundaryMutator,1,SURVIVED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,32,IncrementsMutator,1,KILLED,2,998,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,26,MathMutator,1,KILLED,2,2,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,27,MathMutator,1,SURVIVED,2,2,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,31,MathMutator,1,KILLED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,34,MathMutator,1,SURVIVED,2,998,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,35,MathMutator,1,SURVIVED,2,998,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,35,MathMutator,2,SURVIVED,2,998,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,36,MathMutator,1,SURVIVED,2,998,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,37,MathMutator,1,SURVIVED,2,998,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,37,MathMutator,2,SURVIVED,2,998,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,37,MathMutator,3,SURVIVED,2,998,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,43,MathMutator,1,KILLED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,44,MathMutator,1,SURVIVED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,45,MathMutator,1,SURVIVED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,45,MathMutator,2,SURVIVED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,46,MathMutator,1,SURVIVED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,46,MathMutator,2,SURVIVED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,46,MathMutator,3,SURVIVED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,31,NegateConditionalsMutator,1,SURVIVED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,39,NegateConditionalsMutator,1,SURVIVED,2,998,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,42,NegateConditionalsMutator,1,SURVIVED,2,1002,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,48,NegateConditionalsMutator,1,SURVIVED,2,1000,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getInterpolationAndDecimation,54,NullReturnValsMutator,1,KILLED,2,2,2,2,[I,1,0,7,28,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselFilterLength,87,ConditionalsBoundaryMutator,1,SURVIVED,1,1,2,2,I,1,0,3,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselFilterLength,84,MathMutator,1,SURVIVED,1,1,2,2,I,1,0,3,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselFilterLength,84,MathMutator,2,SURVIVED,1,1,2,2,I,1,0,3,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselFilterLength,90,MathMutator,1,SURVIVED,1,1,2,2,I,1,0,3,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselFilterLength,90,MathMutator,2,SURVIVED,1,1,2,2,I,1,0,3,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselFilterLength,90,MathMutator,3,SURVIVED,1,1,2,2,I,1,0,3,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselFilterLength,92,MathMutator,1,KILLED,1,1,2,2,I,1,0,3,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselFilterLength,87,NegateConditionalsMutator,1,SURVIVED,1,1,2,2,I,1,0,3,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselFilterLength,92,NegateConditionalsMutator,1,KILLED,1,1,2,2,I,1,0,3,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselFilterLength,92,PrimitiveReturnsMutator,1,KILLED,1,1,2,2,I,1,0,3,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,129,ConditionalsBoundaryMutator,1,KILLED,1,24,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,133,ConditionalsBoundaryMutator,1,KILLED,1,24,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,125,MathMutator,1,SURVIVED,1,1,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,125,MathMutator,2,SURVIVED,1,1,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,131,MathMutator,1,SURVIVED,1,23,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,131,MathMutator,2,SURVIVED,1,23,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,131,MathMutator,3,SURVIVED,1,23,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,131,MathMutator,4,SURVIVED,1,23,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,131,MathMutator,5,SURVIVED,1,23,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,131,MathMutator,6,SURVIVED,1,23,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,132,MathMutator,1,SURVIVED,1,23,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,132,MathMutator,2,SURVIVED,1,23,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,134,MathMutator,1,SURVIVED,1,23,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,129,NegateConditionalsMutator,1,SURVIVED,1,24,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,133,NegateConditionalsMutator,1,SURVIVED,1,24,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindow,137,NullReturnValsMutator,1,KILLED,1,1,2,2,[F,1,0,3,15,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,97,ConditionalsBoundaryMutator,1,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,99,ConditionalsBoundaryMutator,1,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,99,ConditionalsBoundaryMutator,2,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,100,MathMutator,1,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,100,MathMutator,2,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,100,MathMutator,3,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,100,MathMutator,4,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,100,MathMutator,5,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,97,NegateConditionalsMutator,1,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,99,NegateConditionalsMutator,1,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,99,NegateConditionalsMutator,2,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getKaiserBesselWindowShape,100,PrimitiveReturnsMutator,1,SURVIVED,1,1,2,2,F,1,0,4,12,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,69,ConditionalsBoundaryMutator,1,SURVIVED,1,12,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,58,MathMutator,1,SURVIVED,1,1,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,62,MathMutator,1,SURVIVED,1,1,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,62,MathMutator,2,KILLED,1,1,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,64,MathMutator,1,SURVIVED,1,1,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,67,MathMutator,1,SURVIVED,1,1,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,71,MathMutator,1,SURVIVED,1,11,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,71,MathMutator,2,SURVIVED,1,11,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,71,MathMutator,3,SURVIVED,1,11,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,72,MathMutator,1,SURVIVED,1,11,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,72,MathMutator,2,SURVIVED,1,11,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,72,MathMutator,3,SURVIVED,1,11,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,75,MathMutator,1,KILLED,1,11,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,75,MathMutator,2,KILLED,1,11,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,58,NegateConditionalsMutator,1,KILLED,1,1,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,69,NegateConditionalsMutator,1,SURVIVED,1,12,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,getLowPassIdealImpulseResponse,78,NullReturnValsMutator,1,KILLED,1,1,2,2,[F,1,0,3,17,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,120,PrimitiveReturnsMutator,1,SURVIVED,1,23,2,2,F,1,0,1,3,1,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,114,ConditionalsBoundaryMutator,1,SURVIVED,1,166,2,2,F,1,0,2,11,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,111,MathMutator,1,SURVIVED,1,166,2,2,F,1,0,2,11,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,112,MathMutator,1,SURVIVED,1,166,2,2,F,1,0,2,11,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,112,MathMutator,2,SURVIVED,1,166,2,2,F,1,0,2,11,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,112,MathMutator,3,SURVIVED,1,166,2,2,F,1,0,2,11,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,112,MathMutator,4,SURVIVED,1,166,2,2,F,1,0,2,11,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,113,MathMutator,1,KILLED,1,166,2,2,F,1,0,2,11,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,114,MathMutator,1,SURVIVED,1,166,2,2,F,1,0,2,11,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,114,NegateConditionalsMutator,1,KILLED,1,166,2,2,F,1,0,2,11,2,8,9,0.4705882352941176
org.anhonesteffort.p25.filter.FilterUtil,zeroOrderBessel,116,PrimitiveReturnsMutator,1,SURVIVED,1,24,2,2,F,1,0,2,11,2,8,9,0.4705882352941176
org.anhonesteffort.p25.primitive.ComplexNumber,add,46,MathMutator,1,SURVIVED,10,64016626,16,26,Lorg/anhonesteffort/p25/primitive/ComplexNumber,2,0,1,3,1,2,23,0.08
org.anhonesteffort.p25.primitive.ComplexNumber,add,47,MathMutator,1,SURVIVED,10,64016626,16,26,Lorg/anhonesteffort/p25/primitive/ComplexNumber,2,0,1,3,1,2,23,0.08
