Class,Method,Line,Operator,Count,Label,NumTestCovered,NumExecuteCovered,NumMutantAssertion,NumClassAssertion,TypeReturn,DIT,NOCh,VG,TLOC,NBD,Ce,Ca,I
org.null0.x12.debatcher.Debatcher,canCheckForRefD9,110,NegateConditionalsMutator,1,SURVIVED,30,302,18,55,Z,1,0,4,3,1,0,0,0
org.null0.x12.debatcher.Debatcher,canCheckForRefD9,110,NegateConditionalsMutator,2,SURVIVED,30,302,18,55,Z,1,0,4,3,1,0,0,0
org.null0.x12.debatcher.Debatcher,canCheckForRefD9,110,NegateConditionalsMutator,3,SURVIVED,30,302,18,55,Z,1,0,4,3,1,0,0,0
org.null0.x12.debatcher.Debatcher,canCheckForRefD9,111,NegateConditionalsMutator,1,SURVIVED,30,302,18,55,Z,1,0,4,3,1,0,0,0
org.null0.x12.debatcher.Debatcher,canCheckForRefD9,110,BooleanTrueReturnValsMutator,1,SURVIVED,30,302,18,55,Z,1,0,4,3,1,0,0,0
org.null0.x12.debatcher.Debatcher,debatch,89,ConditionalsBoundaryMutator,1,SURVIVED,49,49,54,55,Ljava/util/Map,1,0,3,21,2,0,0,0
org.null0.x12.debatcher.Debatcher,debatch,82,NegateConditionalsMutator,1,KILLED,50,50,55,55,Ljava/util/Map,1,0,3,21,2,0,0,0
org.null0.x12.debatcher.Debatcher,debatch,89,NegateConditionalsMutator,1,SURVIVED,49,49,54,55,Ljava/util/Map,1,0,3,21,2,0,0,0
org.null0.x12.debatcher.Debatcher,debatch,99,VoidMethodCallMutator,1,KILLED,49,49,54,55,Ljava/util/Map,1,0,3,21,2,0,0,0
org.null0.x12.debatcher.Debatcher,getClaimType,115,NegateConditionalsMutator,1,KILLED,33,113,22,55,Lorg/null0/x12/debatcher/DefaultValidator$ClaimType,1,0,3,10,3,0,0,0
org.null0.x12.debatcher.Debatcher,getClaimType,117,NegateConditionalsMutator,1,KILLED,6,8,2,55,Lorg/null0/x12/debatcher/DefaultValidator$ClaimType,1,0,3,10,3,0,0,0
org.null0.x12.debatcher.Debatcher,getClaimType,116,NullReturnValsMutator,1,KILLED,29,105,20,55,Lorg/null0/x12/debatcher/DefaultValidator$ClaimType,1,0,3,10,3,0,0,0
org.null0.x12.debatcher.Debatcher,getClaimType,118,NullReturnValsMutator,1,KILLED,5,5,2,55,Lorg/null0/x12/debatcher/DefaultValidator$ClaimType,1,0,3,10,3,0,0,0
org.null0.x12.debatcher.Debatcher,getLxCount,124,PrimitiveReturnsMutator,1,SURVIVED,30,288,16,55,I,1,0,1,3,1,0,0,0
org.null0.x12.debatcher.Debatcher,getSegmentCount,128,PrimitiveReturnsMutator,1,SURVIVED,30,1129,16,55,I,1,0,1,3,1,0,0,0
org.null0.x12.debatcher.Debatcher,idPattern,132,NegateConditionalsMutator,1,SURVIVED,30,108,18,55,Ljava/util/HashSet,1,0,2,6,2,0,0,0
org.null0.x12.debatcher.Debatcher,idPattern,135,NullReturnValsMutator,1,KILLED,30,108,18,55,Ljava/util/HashSet,1,0,2,6,2,0,0,0
org.null0.x12.debatcher.Debatcher,initRefD9idPattern,139,NegateConditionalsMutator,1,KILLED,30,108,18,55,V,1,0,3,9,3,0,0,0
org.null0.x12.debatcher.Debatcher,isAtRefD9,147,NegateConditionalsMutator,1,SURVIVED,30,887,18,55,Z,1,0,9,19,4,0,0,0
org.null0.x12.debatcher.Debatcher,isAtRefD9,151,NegateConditionalsMutator,1,SURVIVED,30,887,18,55,Z,1,0,9,19,4,0,0,0
org.null0.x12.debatcher.Debatcher,isAtRefD9,162,NegateConditionalsMutator,1,SURVIVED,30,871,18,55,Z,1,0,9,19,4,0,0,0
org.null0.x12.debatcher.Debatcher,isAtRefD9,162,NegateConditionalsMutator,2,SURVIVED,30,871,18,55,Z,1,0,9,19,4,0,0,0
org.null0.x12.debatcher.Debatcher,isAtRefD9,166,NegateConditionalsMutator,1,SURVIVED,30,828,18,55,Z,1,0,9,19,4,0,0,0
org.null0.x12.debatcher.Debatcher,isAtRefD9,169,NegateConditionalsMutator,1,KILLED,30,828,18,55,Z,1,0,9,19,4,0,0,0
org.null0.x12.debatcher.Debatcher,isAtRefD9,169,NegateConditionalsMutator,2,SURVIVED,30,828,18,55,Z,1,0,9,19,4,0,0,0
org.null0.x12.debatcher.Debatcher,isAtRefD9,169,NegateConditionalsMutator,3,KILLED,30,828,18,55,Z,1,0,9,19,4,0,0,0
