Class,Method,Line,Operator,Count,Label,NumTestCovered,NumExecuteCovered,NumMutantAssertion,NumClassAssertion,TypeReturn,DIT,NOCh,VG,TLOC,NBD,Ce,Ca,I
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,extract,28,NegateConditionalsMutator,1,KILLED,9,9,9,14,Ljava/lang/String,2,0,5,22,2,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,extract,33,NegateConditionalsMutator,1,KILLED,7,7,7,14,Ljava/lang/String,2,0,5,22,2,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,extract,37,NegateConditionalsMutator,1,KILLED,6,6,6,14,Ljava/lang/String,2,0,5,22,2,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,extract,37,NegateConditionalsMutator,2,KILLED,6,6,6,14,Ljava/lang/String,2,0,5,22,2,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,extract,52,EmptyObjectReturnValsMutator,1,KILLED,4,4,4,14,Ljava/lang/String,2,0,5,22,2,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,handles,23,BooleanFalseReturnValsMutator,1,KILLED,1,1,1,6,Z,2,0,1,3,1,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,handles,23,BooleanTrueReturnValsMutator,1,SURVIVED,1,1,1,6,Z,2,0,1,3,1,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,matchExpressionToRequestBody,75,NegateConditionalsMutator,1,KILLED,4,4,4,14,Ljava/lang/String,2,0,2,10,3,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,matchExpressionToRequestBody,76,EmptyObjectReturnValsMutator,1,KILLED,3,3,3,14,Ljava/lang/String,2,0,2,10,3,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,matchRegexWithVariable,66,ConditionalsBoundaryMutator,1,KILLED,7,7,7,14,Lbr/com/moip/mockkid/model/Regex,2,0,4,11,2,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,matchRegexWithVariable,62,NegateConditionalsMutator,1,KILLED,8,8,8,14,Lbr/com/moip/mockkid/model/Regex,2,0,4,11,2,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,matchRegexWithVariable,66,NegateConditionalsMutator,1,KILLED,7,7,7,14,Lbr/com/moip/mockkid/model/Regex,2,0,4,11,2,5,0,1.0
br.com.moip.mockkid.variable.resolver.RegexVariableResolver,matchRegexWithVariable,70,NullReturnValsMutator,1,KILLED,6,6,6,14,Lbr/com/moip/mockkid/model/Regex,2,0,4,11,2,5,0,1.0
br.com.moip.mockkid.service.VariableResolver,getVariables,78,NegateConditionalsMutator,1,KILLED,2,8,6,6,Ljava/util/Set,1,0,2,8,2,4,1,0.8
br.com.moip.mockkid.service.VariableResolver,getVariables,82,EmptyObjectReturnValsMutator,1,KILLED,2,4,6,6,Ljava/util/Set,1,0,2,8,2,4,1,0.8
