Project,Class,Method,Line,Operator,Label,NumTestCovered,NumExecuteCovered,NumMutantAssertion,NumClassAssertion,TypeReturn,DIT,NOCh,VG,TLOC,NBD,Ce,Ca,I
ACAP25_961e1fa,org.anhonesteffort.p25.SelfStartingSource,removeSink,41,NegateConditionalsMutator,SURVIVED,2,4,13,13,V,2,2,2,8,2,5,25,0.1666666666666666
ACAP25_961e1fa,org.anhonesteffort.p25.SelfStartingSource,removeSink,42,VoidMethodCallMutator,SURVIVED,1,3,5,13,V,2,2,2,8,2,5,25,0.1666666666666666
ACAP25_961e1fa,org.anhonesteffort.p25.Source,broadcast,41,NegateConditionalsMutator,KILLED,18,521029453,31,31,V,1,9,3,11,2,5,25,0.1666666666666666
ACAP25_961e1fa,org.anhonesteffort.p25.Source,broadcast,44,NegateConditionalsMutator,SURVIVED,17,260514711,25,25,V,1,9,3,11,2,5,25,0.1666666666666666
ACAP25_961e1fa,org.anhonesteffort.p25.Source,broadcast,45,VoidMethodCallMutator,SURVIVED,17,260514711,25,25,V,1,9,3,11,2,5,25,0.1666666666666666
ACAP25_961e1fa,org.anhonesteffort.p25.ecc.Golay_17_6_8,encode,30,MathMutator,SURVIVED,1,100063,4,4,I,1,0,1,5,1,0,1,0.0
ACAP25_961e1fa,org.anhonesteffort.p25.ecc.Golay_17_6_8,encode,31,MathMutator,SURVIVED,1,100063,4,4,I,1,0,1,5,1,0,1,0.0
ACAP25_961e1fa,org.anhonesteffort.p25.ecc.Golay_17_6_8,encode,31,MathMutator,SURVIVED,1,100063,4,4,I,1,0,1,5,1,0,1,0.0
ACAP25_961e1fa,org.anhonesteffort.p25.ecc.Golay_17_6_8,encode,31,PrimitiveReturnsMutator,SURVIVED,1,100063,4,4,I,1,0,1,5,1,0,1,0.0
ACAP25_961e1fa,org.anhonesteffort.p25.ecc.Golay_17_6_8,decode,35,MathMutator,SURVIVED,1,100063,4,4,[I,1,0,1,5,1,0,1,0.0
ACAP25_961e1fa,org.anhonesteffort.p25.ecc.Golay_17_6_8,decode,36,MathMutator,SURVIVED,1,100063,4,4,[I,1,0,1,5,1,0,1,0.0
ACAP25_961e1fa,org.anhonesteffort.p25.ecc.Golay_17_6_8,decode,36,MathMutator,SURVIVED,1,100063,4,4,[I,1,0,1,5,1,0,1,0.0
ACAP25_961e1fa,org.anhonesteffort.p25.ecc.Golay_17_6_8,decode,37,MathMutator,SURVIVED,1,100063,4,4,[I,1,0,1,5,1,0,1,0.0
