Test-case level metrics
,Precision,Recall,F1-score,Support
KILLED,0.4130,0.4939,0.4498,4641
SURVIVED,0.5803,0.4992,0.5367,6506
Macro,0.4966,0.4965,0.4933,-
Weighted,0.5106,0.4970,0.5005,-

Accuracy,0.4970

Test-suite level metrics
,Precision,Recall,F1-score,Support
KILLED,0.7000,0.9094,0.7911,254
SURVIVED,0.6290,0.2826,0.3900,138
Macro,0.6645,0.5960,0.5905,-
Weighted,0.6750,0.6888,0.6499,-

Accuracy,0.6888

Project,MutationScore_Real,MutationScore_Predicted,Error
Csv_5,0.6480,0.8418,0.1939
Average_Error,,,0.1939

