Test-case level metrics
,Precision,Recall,F1-score,Support
KILLED,0.4143,0.4992,0.4528,4641
SURVIVED,0.5816,0.4965,0.5357,6506
Macro,0.4979,0.4979,0.4942,-
Weighted,0.5119,0.4976,0.5012,-

Accuracy,0.4976

Test-suite level metrics
,Precision,Recall,F1-score,Support
KILLED,0.6749,0.9724,0.7968,254
SURVIVED,0.7308,0.1377,0.2317,138
Macro,0.7028,0.5551,0.5142,-
Weighted,0.6945,0.6786,0.5978,-

Accuracy,0.6786

Project,MutationScore_Real,MutationScore_Predicted,Error
Csv_5,0.6480,0.9337,0.2857
Average_Error,,,0.2857

